21;21-4-2;5.00
21;21-4-3;7.20
21;21-4-4;7.20
21;21-4-6;10.70
21;21-5-1;4.80
21;21-5-2;7.80
21;21-5-3;7.40
21;21-5-4;3.60
21;21-5-5;6.00
21;21-5-6;14.00
21;22-1-1;7.50
21;22-1-2;7.20
21;22-1-4;9.50
21;22-1-5;8.90
21;22-1-6;8.90
22;21-1-2;4.50
22;21-4-2;5.50
22;21-5-1;4.00
22;21-5-2;5.40
22;21-5-3;8.30
23;21-1-1;9.00
23;21-1-5;4.00
23;21-1-6;12.00
23;21-2-3;4.70
23;21-2-4;6.90
23;21-2-5;1.80
23;21-2-6;4.70
23;21-3-3;7.60
23;21-3-5;10.00
23;21-3-6;12.00
23;21-4-1;8.00
23;21-4-3;5.10
23;21-4-6;12.00
23;21-5-1;10.00
23;21-5-3;6.10
23;22-1-1;10.00
23;22-1-2;3.60
23;22-1-3;0.00
23;22-1-4;4.70
23;22-1-6;10.00
23;22-1-7;12.00
23;22-2-1;6.20
23;22-2-2;11.40
23;22-2-4;10.00
23;22-2-6;10.00
23;22-2-7;12.00
23;22-3-2;6.00
23;22-3-6;8.00
23;22-4-4;7.80
23;22-4-7;5.70
23;22-5-1;10.00
23;22-5-5;10.00
23;22-5-7;6.40
24;21-1-4;11.00
24;21-1-5;5.00
24;21-1-6;10.40
24;21-2-4;8.00
24;21-3-5;10.00
24;21-3-6;9.90
24;21-4-1;8.00
24;21-4-4;5.70
24;21-4-6;4.70
24;21-5-1;4.20
24;22-1-1;1.40
24;22-1-7;9.90
24;22-2-4;3.60
24;22-3-1;4.60
24;22-3-3;7.50
24;22-3-4;6.30
24;22-4-1;7.00
24;22-4-4;3.00
24;22-4-5;2.00
24;22-4-7;3.00
24;22-5-1;10.00
25;22-4-1;10.00
25;22-4-7;12.00
26;21-1-2;4.50
26;21-1-4;10.80
26;21-1-6;8.70
26;21-2-6;5.20
26;21-4-1;8.00
26;21-4-3;4.00
26;21-5-1;2.00
26;21-5-2;7.20
26;21-5-3;8.20
26;21-5-5;9.60
26;22-1-1;6.00
26;22-1-2;5.80
26;22-1-7;9.20
26;22-2-1;5.30
26;22-2-2;7.40
26;22-2-3;4.50
26;22-2-4;7.50
26;22-2-5;8.30
26;22-3-2;7.40
26;22-3-4;10.00
26;22-3-5;4.40
26;22-3-6;10.00
26;22-4-1;10.00
26;22-4-5;6.00
26;22-5-1;10.00
26;22-5-5;7.60
26;23-1-1;9.00
26;23-1-3;11.00
26;23-1-4;10.00
26;23-1-5;10.00
26;23-1-7;13.60
26;23-2-1;2.00
26;23-2-2;10.00
26;23-2-4;10.00
26;23-2-5;8.00
26;23-2-6;7.00
26;23-4-1;12.00
26;23-4-2;3.70
26;23-4-5;11.00
26;23-4-7;15.30
26;24-2-2;9.00
26;24-4-1;7.30
26;25-5-2;9.00
26;25-5-3;11.00
26;25-5-4;11.00
26;25-5-5;7.50
26;25-5-6;11.00
27;22-2-4;9.10
28;22-1-2;6.70
28;22-1-4;10.60
28;22-1-5;4.50
28;22-1-6;7.10
28;22-2-1;4.00
28;22-2-2;4.60
28;22-2-3;7.70
28;22-2-4;9.40
28;22-2-5;7.70
28;22-2-6;10.00
28;22-3-1;8.50
28;22-3-2;2.10
28;22-3-3;8.30
28;22-3-4;8.80
28;22-3-5;9.80
28;22-3-6;4.00
28;22-4-1;7.20
28;22-4-2;2.00
28;22-4-3;3.70
28;22-4-4;8.00
28;22-4-5;10.00
28;22-4-6;12.00
28;22-4-7;11.60
28;22-5-1;9.60
28;22-5-3;7.80
28;22-5-4;3.60
28;22-5-5;10.00
28;22-5-6;11.80
28;22-5-7;13.60
28;23-1-1;9.00
28;23-1-2;9.50
28;23-1-3;11.00
